species,sample,PARi,Photo,Cond,Trmmol,ite
dip_str,1,100,3.753572809,0.120405743,2.799230385,1.340930289
dip_str,1,750,4.065067969,0.17481331,1.389117198,2.926367894
dip_str,1,500,3.990567822,0.187542114,1.217447317,3.277815612
dip_str,1,300,3.822327071,0.200758549,1.114089225,3.430898518
dip_str,1,250,3.916468948,0.206639545,1.081532284,3.621222414
dip_str,1,150,3.439364842,0.211723505,1.025896308,3.352546271
dip_str,1,100,3.056041801,0.212847479,1.005743764,3.038588864
dip_str,1,50,2.193931713,0.209585007,0.947205935,2.316214069
dip_str,1,35,1.753633492,0.208434539,0.944108792,1.857448534
dip_str,1,25,1.21976686,0.204603725,0.932801076,1.307638779
dip_str,1,10,0.422732478,0.200830096,0.897466411,0.471028746
dip_str,1,5,0.323784745,0.196080087,0.876962802,0.369211493
dip_str,1,0,-0.207702959,0.190700591,0.850960149,-0.244080712
dip_str,2,100,4.209818685,0.28306527,1.938768692,2.1713878
dip_str,2,750,4.463917232,0.301145079,1.85016326,2.412715315
dip_str,2,500,4.441551435,0.313518304,1.69568601,2.61932422
dip_str,2,300,4.16426951,0.318260661,1.543221744,2.698425891
dip_str,2,250,4.177381482,0.318108256,1.501945931,2.781312826
dip_str,2,150,3.594384193,0.317145919,1.40354713,2.560928747
dip_str,2,100,3.219517726,0.315278775,1.358639277,2.369663369
dip_str,2,50,2.220960513,0.31103786,1.313424868,1.690968831
dip_str,2,35,1.718372559,0.310839589,1.318684667,1.303095882
dip_str,2,25,1.345676912,0.306026422,1.310916098,1.026516429
dip_str,2,10,0.415840726,0.307424883,1.315465294,0.316116836
dip_str,2,5,0.254872849,0.29969574,1.298587566,0.196269282
dip_str,2,0,-0.244739667,0.304419246,1.338141797,-0.182895167
dip_str,3,100,2.576324593,0.403920915,2.564797353,1.004494406
dip_str,3,750,2.744318826,0.163040631,1.41987543,1.932788446
dip_str,3,500,2.652050746,0.156186636,1.17808249,2.61932422
dip_str,3,300,2.668701175,0.160965229,1.0540228,2.531919779
dip_str,3,250,2.747480629,0.16313142,1.02780882,2.673143658
dip_str,3,150,2.693654093,0.165720503,0.984708277,2.735484362
dip_str,3,100,2.37238061,0.166538723,0.950791956,2.495162685
dip_str,3,50,1.955765519,0.161332165,0.890737171,2.195670713
dip_str,3,35,1.724071296,0.164478363,0.885999051,1.945906482
dip_str,3,25,1.274002355,0.159799528,0.868434096,1.467010981
dip_str,3,10,0.599295044,0.154332046,0.819753918,0.731067008
dip_str,3,5,0.239643252,0.157426592,0.826070011,0.290100414
dip_str,3,0,-0.064021317,0.159137805,0.857608537,-0.074650979
dip_str,4,100,2.515179401,0.161707991,1.500659352,1.67604953
dip_str,4,750,2.580225048,0.163259492,1.364428079,1.891067098
dip_str,4,500,2.63383509,0.16911099,1.24672551,2.112602228
dip_str,4,300,2.566493498,0.173393485,1.14035883,2.250601679
dip_str,4,250,2.561072544,0.174069785,1.098546658,2.331327964
dip_str,4,150,2.458666534,0.174625965,1.022044158,2.405636307
dip_str,4,100,2.254945624,0.173381285,0.966158299,2.333929778
dip_str,4,50,1.968456118,0.173742733,0.924026027,2.130303758
dip_str,4,35,1.692865533,0.172219858,0.895040516,1.891384248
dip_str,4,25,1.226993802,0.173081154,0.883137582,1.389357476
dip_str,4,10,0.65072761,0.174277675,0.881485485,0.738217045
dip_str,4,5,0.406885699,0.173409714,0.876416104,0.464260866
dip_str,4,0,-0.21696431,0.179195757,0.950195267,-0.228336551
dip_str,5,100,5.628608089,0.192414093,1.682351934,3.34567814
dip_str,5,750,5.960984773,0.193914809,1.555933069,3.831131873
dip_str,5,500,5.873187164,0.191852173,1.364969045,4.302798796
dip_str,5,300,5.485224274,0.190366105,1.200521428,4.569034876
dip_str,5,250,5.283134331,0.18788582,1.123500452,4.702387366
dip_str,5,150,4.447120153,0.183333516,1.020310977,4.358592873
dip_str,5,100,3.927335084,0.182870116,0.965412678,4.068037611
dip_str,5,50,2.476670505,0.181879602,0.909827206,2.722132828
dip_str,5,35,1.893147494,0.186221971,0.921738811,2.053887144
dip_str,5,25,1.344421941,0.178603554,0.880930085,1.526139207
dip_str,5,10,0.445558857,0.182227895,0.886627062,0.502532436
