Species,Obs,light_umol,Photo,Cond,Ci,Trmmol
bol,1,50,0.472801484,0.060097731,382.0986303,0.40257768
bol,2,50,0.366372377,0.054141145,384.0876669,0.363633282
bol,3,50,0.40565638,0.051384294,382.3084633,0.345794717
bol,4,50,0.383966244,0.049980448,382.7479117,0.333442202
bol,5,50,0.424041648,0.047142767,380.5830686,0.317351771
bol,6,50,0.385847479,0.045846666,381.6239037,0.307321824
bol,7,50,0.439310085,0.044823818,379.3489785,0.30105026
bol,8,50,0.450416601,0.043609703,378.5357172,0.291453831
bol,9,50,0.36039959,0.043357348,381.8786345,0.288769893
bol,10,50,0.391301662,0.042262009,380.3804338,0.281820797
bol,11,50,0.402682982,0.04076524,379.3285217,0.272476803
bol,12,50,0.399409763,0.040912599,379.5759223,0.272491121
bol,13,50,0.372188063,0.040077574,380.2509807,0.266278069
bol,14,50,0.432393028,0.039805026,377.7121137,0.264307514
bol,15,50,0.375945518,0.03958991,379.943422,0.261847079
bol,16,50,0.388087972,0.039027411,379.1511948,0.258630799
bol,17,50,0.367875559,0.038439838,379.7687051,0.254459758
bol,18,50,0.461181972,0.038332894,375.7691388,0.253289883
bol,19,50,0.290163731,0.037681884,382.8305673,0.248369639
bol,20,50,0.402220705,0.037268898,377.76964,0.245677015
bol,21,50,0.398204097,0.037526643,378.0211318,0.246329079
bol,22,50,0.3829034,0.036961027,378.4723072,0.243222247
bol,23,50,0.361788028,0.037046421,379.3626969,0.241959508
bol,24,50,0.344508525,0.036454765,379.8570977,0.238985732
bol,25,50,0.307637645,0.036133599,381.4555956,0.2353454
bol,26,50,0.328752825,0.036210759,380.5212242,0.234915751
bol,27,50,0.354472337,0.03604873,379.2419376,0.234042768
bol,28,50,0.362153041,0.035791106,378.7542625,0.232334189
bol,29,50,0.358582283,0.035830236,378.8736643,0.232218627
bol,30,50,0.320725446,0.035681704,380.5404644,0.230507806
bol,31,50,0.343553267,0.034799037,379.0666862,0.225600081
bol,32,50,0.354703274,0.034475555,378.3334653,0.222866963
bol,33,50,0.334522229,0.034410161,379.1841223,0.221842718
bol,34,50,0.318536083,0.034884627,380.1186128,0.223930143
bol,35,50,0.321026789,0.034371253,379.7389663,0.220936554
bol,36,50,0.336856268,0.034840673,379.2385712,0.222410873
bol,37,50,0.364699463,0.033624856,377.2303501,0.215918474
bol,38,50,0.29256222,0.033959181,380.9684854,0.216850456
bol,39,50,0.352298941,0.034090499,378.0999555,0.21784445
bol,40,50,0.341546836,0.033508374,378.3471761,0.213957521
bol,41,50,0.343274536,0.0330903,377.9822545,0.210493061
bol,42,50,0.349880332,0.032905567,377.5173087,0.209571897
bol,43,50,0.384234759,0.03231815,375.431551,0.205427117
bol,44,50,0.311652085,0.032148726,379.0094769,0.203446651
bol,45,50,0.356922915,0.031883137,376.5392027,0.201825034
bol,46,50,0.307451962,0.031390097,378.7918982,0.197630413
bol,47,50,1.129161216,0.031924184,336.0366157,0.201845329
bol,48,50,1.306038661,0.031297958,325.4565526,0.197777074
bol,49,50,1.342720818,0.031110562,323.0766419,0.196232935
bol,50,50,1.421808291,0.030661359,317.8440646,0.192611394
bol,51,50,1.362991528,0.030837428,321.3256208,0.193907175
bol,52,50,1.428706678,0.031306995,318.9094732,0.195711245
bol,53,50,1.487172534,0.032107449,317.7392818,0.199829173
bol,54,50,1.429316718,0.032352616,321.1735066,0.201505424
bol,55,50,1.456960648,0.032069337,319.0775215,0.200483427
bol,56,50,1.500911952,0.031406089,315.2736489,0.196624064
bol,57,50,1.472329489,0.032904467,320.0731218,0.205389611
bol,58,50,1.506556094,0.033132602,318.9310822,0.206225791
bol,59,50,1.487261743,0.033591547,320.805739,0.208531885
bol,60,50,1.525857837,0.032941,317.5475015,0.205625226
bol,61,50,1.561861279,0.033828187,317.6880553,0.211020663
bol,62,50,1.518529901,0.033470122,319.0432526,0.208648394
bol,63,50,1.475988687,0.033194235,320.4348937,0.207474934
bol,64,50,1.533641239,0.033939995,319.2596825,0.213372611
bol,65,50,1.552428994,0.033718655,317.808418,0.211597931
bol,66,50,1.511902352,0.032028495,315.9118254,0.200704211
bol,67,50,1.482858386,0.030928965,314.8235724,0.193122446
bol,68,50,1.473065885,0.030524771,314.3787976,0.189388658
bol,69,50,1.485077799,0.030775524,314.3246611,0.19127433
bol,70,50,1.545973686,0.031114701,312.0227738,0.192720406
bol,71,50,1.514587322,0.031286791,314.0011363,0.194456749
bol,72,50,1.492044493,0.030262329,312.6014395,0.186985492
bol,73,50,1.512073352,0.030647271,312.5321924,0.189043967
bol,74,50,1.553894063,0.03111654,311.492905,0.191952271
bol,75,50,1.538108887,0.03065718,311.1118164,0.188733477
bol,76,50,1.56561922,0.03072354,309.8204612,0.189512727
bol,77,50,1.498606899,0.031912367,316.2716696,0.196733323
bol,78,50,1.593018093,0.031581885,310.5755037,0.195034847
bol,79,50,1.489007581,0.03187575,316.5800775,0.19639336
bol,80,50,1.550170655,0.032471546,314.8517084,0.200805667
bol,81,50,1.502049586,0.032001031,316.1223693,0.198670565
bol,82,50,1.534569454,0.032680545,316.0065878,0.203049164
bol,83,50,1.510034226,0.032712268,317.2739916,0.203345462
bol,84,50,1.53611708,0.033134305,316.8891784,0.205942331
bol,85,50,1.50734842,0.032241652,316.2834817,0.199965277
bol,86,50,1.543234901,0.032113236,314.4296646,0.198449307
bol,87,50,1.552740191,0.031479743,312.5282879,0.195400937
bol,88,50,1.562933225,0.031444581,311.910984,0.193957568
bol,89,50,1.549585784,0.031185243,311.9304167,0.191924297
bol,90,50,1.555027054,0.031174707,311.6370647,0.192245549
