family,species,individual,light,leaf_area_mm2,leaf_mass_g,lma_gpercm2,stomatalarea_mm2,stomatadensity_mm2 
Selaginella,Sel_eur,1,High,22.21,1.72,7.74,0.46,44.13
Selaginella,Sel_eur,2,High,17.19,1.35,7.85,0.46,36.52
Selaginella,Sel_eur,3,High,13.41,1.01,7.53,0.42,53.04
Selaginella,Sel_eur,4,High,10.41,0.71,6.82,0.44,53.78
Selaginella,Sel_eur,5,High,13.08,0.72,5.51,0.37,40.85
Selaginella,Sel_anc,1,Low,23.30,3.59,15.41,0.22,75.87
Selaginella,Sel_anc,2,Low,11.60,1.31,11.29,0.20,68.70
Selaginella,Sel_anc,3,Low,17.37,2.22,12.78,0.21,59.13
Selaginella,Sel_anc,4,Low,15.31,2.08,13.59,0.23,65.22
Selaginella,Sel_anc,5,Low,11.17,1.20,10.74,0.23,57.83
Selaginella,Sel_ate,1,Low,24.81,0.88,3.55,0.43,26.52
Selaginella,Sel_ate,2,Low,19.02,0.84,4.42,0.40,28.70
Selaginella,Sel_ate,3,Low,14.83,0.46,3.10,0.37,25.87
Selaginella,Sel_ate,4,Low,19.10,1.03,5.39,0.41,19.35
Selaginella,Sel_ate,5,Low,15.77,0.85,5.39,0.38,29.78
Selaginella,Sel_umb,1,Low,18.77,2.45,13.05,0.20,74.35
Selaginella,Sel_umb,2,Low,15.38,1.90,12.35,0.21,99.13
Selaginella,Sel_umb,3,Low,10.48,1.46,13.93,0.20,85.65
Selaginella,Sel_umb,4,Low,11.30,1.15,10.18,0.20,73.04
Selaginella,Sel_umb,5,Low,12.17,1.29,10.60,0.19,80.87
Selaginella,Sel_oax,1,Low,20.27,1.62,7.99,0.44,71.74
Selaginella,Sel_oax,2,Low,24.71,2.14,8.66,0.48,54.35
Selaginella,Sel_oax,3,Low,20.29,2.36,11.63,0.43,65.22
Selaginella,Sel_oax,4,Low,16.30,1.38,8.47,0.39,52.17
Selaginella,Sel_oax,5,Low,16.52,1.29,7.81,0.44,56.74
Selaginella,Sel_swim,1,High,16.05,1.58,9.85,0.35,90.81
Selaginella,Sel_swim,2,High,19.18,1.72,8.97,0.36,121.08
Selaginella,Sel_swim,3,High,18.04,1.97,10.92,0.40,121.62
Selaginella,Sel_swim,4,High,13.99,1.23,8.79,0.34,121.08
Selaginella,Sel_swim,5,High,18.33,1.99,10.85,0.33,134.32
Selaginella,Sel_art,1,Low,14.88,1.79,12.03,0.44,34.32
Selaginella,Sel_art,2,Low,21.34,2.39,11.20,0.47,35.68
Selaginella,Sel_art,3,Low,21.42,2.95,13.77,0.45,32.16
Selaginella,Sel_art,4,Low,16.06,1.92,11.95,0.44,24.05
Selaginella,Sel_art,5,Low,16.03,2.14,13.35,0.44,37.30
Ferns,Thy_cur,1,Low,,,18.82,0.49,16.52
Ferns,Thy_cur,2,Low,,,17.56,0.66,6.96
Ferns,Thy_cur,3,Low,,,17.56,0.76,5.22
Ferns,Thy_cur,4,Low,,,19.20,0.63,13.48
Ferns,Thy_cur,5,Low,,,15.79,0.62,15.65
Ferns,Thy_cur,6,Low,,,17.94,0.84,15.65
Ferns,Thy_cur,7,Low,,,19.20,0.75,16.96
Ferns,Thy_cur,8,Low,,,18.82,0.79,26.52
Ferns,Thy_cur,9,Low,,,18.95,0.92,25.65
Ferns,Thy_cur,10,Low,,,18.57,0.88,27.83
Ferns,Dip_stri,1,Low,,,19.58,0.80,32.61
Ferns,Dip_stri,2,Low,,,19.32,0.78,28.70
Ferns,Dip_stri,3,Low,,,17.43,0.91,36.52
Ferns,Dip_stri,4,Low,,,19.83,0.80,31.30
