family,species,individual,chlorophyll_mgperl,percN,percC,cn_ratio,percP,light
Selaginella,Sel_eur,1,11.29474,3.44,42.07,12.27358491,0.37857013,High
Selaginella,Sel_eur,2,7.38534,3.29,40.95,12.42156863,0.460333887,High
Selaginella,Sel_eur,3,8.335826667,3.66,41.33,11.26785714,0.30048439,High
Selaginella,Sel_eur,4,8.340346667,4.49,41.13,9.185714286,0.291374382,High
Selaginella,Sel_eur,5,6.945786667,2.83,39.08,13.84444444,0.44257151,High
Selaginella,Sel_anc,1,10.21903333,2.2,41.82,19,0.195456138,Low
Selaginella,Sel_anc,2,11.13256,2.25,40.69,18.17142857,0.162748197,Low
Selaginella,Sel_anc,3,15.34418,1.9,40.18,21.01724138,0.061200026,Low
Selaginella,Sel_anc,4,8.3979,2.65,40.4,15.19767442,0.187506586,Low
Selaginella,Sel_anc,5,14.43127333,2.77,39.21,14.2247191,0.171546038,Low
Selaginella,Sel_ate,1,11.45455333,2.51,40.77,16.32467532,0.266292352,Low
Selaginella,Sel_ate,2,13.40392667,2.85,39.02,13.57142857,0.197610723,Low
Selaginella,Sel_ate,3,11.60831333,3.23,34.85,10.71428571,0.244492552,Low
Selaginella,Sel_ate,4,11.50489333,2.55,41.34,16.10714286,,Low
Selaginella,Sel_ate,5,11.78682,,,,,Low
Selaginella,Sel_umb,1,5.663073333,1.24,42.14,33.58974359,0.220010895,Low
Selaginella,Sel_umb,2,7.565746667,1.4,41.31,29.32608696,0.20559666,Low
Selaginella,Sel_umb,3,8.77546,1.74,40.72,23.57407407,0.187978059,Low
Selaginella,Sel_umb,4,10.31342,1.69,42.35,25.11538462,0.178854591,Low
Selaginella,Sel_umb,5,10.5068,2.09,40.2,19.14492754,0.1523253,Low
Selaginella,Sel_oax,1,11.60828667,2.51,39.41,15.75641026,0.20172177,Low
Selaginella,Sel_oax,2,18.71434667,2.21,38.52,17.48529412,0.097355157,Low
Selaginella,Sel_oax,3,14.10664,2.04,36.86,18.14516129,0.199445328,Low
Selaginella,Sel_oax,4,10.37951333,2.75,37.22,13.56666667,0.240001533,Low
Selaginella,Sel_oax,5,14.83727333,2.8,39.04,13.94186047,0.194430518,Low
Selaginella,Sel_swim,1,11.16828,1.71,36.82,21.66037736,0.109029979,High
Selaginella,Sel_swim,2,8.915386667,1.07,36.35,34.3030303,0.114446681,High
Selaginella,Sel_swim,3,10.21766667,1.2,39.19,32.75675676,0.084453705,High
Selaginella,Sel_swim,4,9.821793333,1.55,37.24,24.16326531,0.140598649,High
Selaginella,Sel_swim,5,9.542933333,1.84,38.39,20.82758621,0.115063767,High
Selaginella,Sel_art,1,12.88048,2.75,37.81,13.77777778,0.241618041,Low
Selaginella,Sel_art,2,8.31528,2.79,39.94,14.35227273,0.118770114,Low
Selaginella,Sel_art,3,11.38445333,2.39,35.24,14.72151899,0.218464353,Low
Selaginella,Sel_art,4,12.63055,2.41,37.91,15.75641026,0.141494027,Low
Selaginella,Sel_art,5,9.7352,2.39,38.95,16.30136986,0.118449485,Low
Ferns,Thy_cur,1,,3.3,38.99,11.82075472,0.366124587,Low
Ferns,Thy_cur,2,,3.12,39.11,12.60638298,0.26672881,Low
Ferns,Thy_cur,3,,3.23,38.54,11.93939394,0.304772374,Low
Ferns,Thy_cur,4,,3.12,36.78,11.8125,0.245777835,Low
Ferns,Thy_cur,5,,3.8,39.11,10.33043478,0.186522192,Low
Ferns,Dip_stri,1,,4.07,41.19,10.16535433,0.236522563,Low
Ferns,Dip_stri,2,,4.06,41.4,10.168,0.404844005,Low
Ferns,Dip_stri,3,,4.06,40.62,9.991869919,0.265731319,Low
Ferns,Dip_stri,4,,4.22,39.67,9.384057971,0.292513901,Low
Ferns,Dip_stri,5,,3.77,41.31,10.94308943,0.235709542,Low
Ferns,Lom_jap,1,,2.62,42.86,16.41860465,0.230963292,Low
Ferns,Lom_jap,2,,2.66,42.31,15.87058824,0.382092579,Low
Ferns,Lom_jap,3,,3.62,42.52,11.73214286,0.258129755,Low
Ferns,Lom_jap,4,,4.35,41.27,9.492857143,0.271729193,Low
Ferns,Lom_jap,5,,4.14,42.71,10.28030303,0.224862375,Low
Ferns,Cyc_semi,1,,2.42,42.38,17.53246753,0.186958439,Low
Ferns,Cyc_semi,2,,2.75,41.92,15.22619048,0.314142152,Low
Ferns,Cyc_semi,3,,3.06,41.73,13.6039604,0.362125031,Low
Ferns,Cyc_semi,4,,3.21,42.45,13.24761905,0.346305395,Low
Ferns,Cyc_semi,5,,3.5,41.97,11.95575221,0.394623499,Low
Ferns,Bul_port,1,,3.81,42.76,11.27731092,0.181376115,Low
Ferns,Bul_port,2,,4.6,42.12,9.192857143,0.500218652,Low
Ferns,Bul_port,3,,3.62,42.25,11.63302752,0.248006015,Low
Ferns,Bul_port,4,,4.75,41.35,8.708609272,,Low
Ferns,Bul_port,5,,4.07,43.23,10.64393939,0.334364803,Low
